0.255,291.4
0.26,239.9
0.265,247.5
0.27,245.9
0.275,246.5
0.28,250.5
0.285,242.5
0.29,247.4
0.295,239.2
0.3,230.2
0.305,225.6
0.31,227.2
0.315,228.2
0.32,237.5
0.325,232.9
0.33,237.9
0.335,243.9
0.34,227.0
0.345,229.6
0.35,235.8
0.355,237.2
0.36,237.6
0.365,231.6
0.37,237.0
0.375,235.7
0.38,243.7
0.385,231.3
0.39,231.1
0.395,226.5
0.4,232.9
0.405,226.3
0.41,222.0
0.415,224.2
0.42,228.1
0.425,229.2
0.43,230.9
0.435,233.0
0.44,231.5
0.445,224.5
0.45,223.9
0.455,226.8
0.46,219.6
0.465,229.3
0.47,224.7
0.475,228.2
0.48,226.0
0.485,225.4
0.49,226.8
0.495,230.0
0.5,228.9
